Student_ID,Study_Hours,Attendance,Assignment_Score,Internal_Marks,Previous_GPA,Extracurricular_Hours
S0048,4.9,92.3,84.6,84.7,7.53,1.7
S0049,5.7,83.7,85.1,90.9,7.91,4.0
S0050,4.6,89.7,69.0,89.1,7.6,6.2
S0051,5.0,76.9,83.8,84.7,7.86,4.9
S0052,5.6,90.0,75.4,77.6,8.06,4.3
S0053,1.9,70.2,63.2,44.9,5.84,6.4
S0054,3.9,100.0,98.6,75.2,7.22,2.4
S0055,3.7,67.5,68.6,60.5,6.77,4.1
S0056,3.4,91.3,74.2,59.9,7.12,4.0
S0057,4.0,83.4,68.2,67.8,7.48,3.4
S0058,7.2,100.0,84.1,95.5,9.49,3.1
S0059,2.9,76.7,58.2,56.3,6.64,4.2
S0060,6.2,99.5,83.1,89.8,8.61,4.1
S0061,1.5,65.4,38.3,57.2,5.44,1.7
S0062,3.9,94.5,87.9,75.5,7.79,5.8
S0063,4.8,82.6,79.6,96.6,7.19,1.9
S0064,5.6,100.0,90.2,88.9,8.03,3.5
S0065,5.8,86.9,83.0,82.9,8.18,3.4
S0066,5.9,93.0,86.6,88.1,8.52,4.8
S0067,3.9,71.6,76.0,68.9,6.36,0.0
S0068,3.7,84.1,69.7,72.6,6.9,6.0
S0069,6.0,100.0,94.8,100.0,8.53,2.5
S0070,4.2,82.2,71.3,65.3,6.15,6.7
S0071,2.2,69.5,53.3,61.1,5.71,2.9
S0072,2.5,62.7,44.9,55.7,5.7,3.9
S0073,2.8,73.0,45.6,47.3,6.16,8.2
S0074,5.4,76.0,77.9,85.3,8.27,3.4
S0075,4.8,78.3,76.6,85.4,6.81,6.7
S0076,5.7,94.5,76.8,80.3,7.9,4.1
S0077,3.7,92.3,72.2,72.0,6.0,4.9
S0078,4.8,100.0,82.2,68.2,7.7,4.2
S0079,5.6,86.5,67.0,73.9,7.83,5.9
S0080,3.9,94.6,67.2,82.6,7.11,2.5
S0081,5.3,92.1,86.8,79.7,8.49,1.8
S0082,3.3,76.5,68.6,55.4,6.94,2.6
S0083,3.8,85.0,62.2,72.5,7.08,4.2
S0084,3.8,81.4,71.6,65.2,6.78,3.5
S0085,2.3,73.1,66.1,52.6,6.43,5.6
S0086,5.4,86.6,88.7,88.1,7.88,6.9
S0087,3.7,67.3,64.9,54.7,6.14,1.9
S0088,4.5,71.2,69.0,64.2,6.29,2.4
S0089,5.4,96.1,79.8,86.2,7.92,0.8
S0090,5.3,87.3,86.0,89.6,8.21,8.5
S0091,5.7,86.8,86.4,94.5,9.08,4.7
S0092,4.3,84.0,79.5,68.5,7.3,5.1
S0093,3.7,87.6,72.4,78.2,6.71,1.1
S0094,4.4,85.8,81.7,68.3,6.8,4.0
S0095,1.5,60.9,49.5,60.9,5.46,5.1
S0096,1.9,80.4,62.9,46.2,5.13,3.4
S0097,2.1,84.9,66.3,68.9,6.4,6.4
S0098,2.7,78.7,55.4,55.3,6.67,9.1
S0099,5.2,98.1,69.8,100.0,8.29,1.9
S0100,2.9,86.4,77.3,68.8,6.48,1.8
S0101,3.8,91.1,74.8,64.2,7.44,2.1
S0102,6.8,100.0,82.4,92.6,9.06,7.5
S0103,3.9,86.5,66.2,77.5,6.74,6.3
S0104,5.8,97.6,94.6,97.2,9.23,3.7
S0105,2.8,65.0,57.0,56.7,5.86,4.1
S0106,4.1,89.1,70.3,74.3,7.65,2.2
S0107,2.8,62.5,69.6,62.4,4.85,6.0
S0108,3.9,74.2,60.6,68.8,7.38,3.2
S0109,6.0,100.0,84.0,80.4,9.21,3.4
S0110,1.4,73.9,53.2,43.2,5.51,5.3
S0111,5.3,100.0,88.3,87.4,8.42,3.6
S0112,4.9,85.1,83.0,88.2,7.87,3.5
S0113,3.4,68.2,71.6,75.6,6.12,4.0
S0114,1.9,67.2,54.9,57.6,5.84,5.7
S0115,4.6,86.7,81.2,79.1,7.14,7.6
S0116,3.5,80.0,66.0,73.0,6.5,5.3
S0117,4.9,97.7,82.6,76.9,8.43,5.8
S0118,4.5,82.0,76.4,73.6,7.77,3.6
S0119,7.4,100.0,100.0,94.1,8.95,2.4
S0120,4.1,73.5,76.3,58.9,6.55,5.4
S0121,2.7,78.0,65.8,62.7,5.97,4.4
S0122,4.8,87.0,79.1,79.8,7.94,0.9
S0123,4.9,80.6,71.2,82.4,7.04,3.3
S0124,6.9,97.6,96.8,100.0,9.14,3.8
S0125,6.0,92.4,88.1,90.4,8.69,2.9
S0126,5.1,86.4,82.4,84.9,7.72,7.3
S0127,7.1,100.0,100.0,98.5,9.59,5.1
S0128,2.4,71.3,53.4,59.2,5.8,7.0
S0129,3.3,75.9,69.0,58.6,6.47,4.6
S0130,2.8,56.1,65.7,57.7,5.36,4.2
S0131,3.8,72.7,68.8,72.0,7.18,1.9
S0132,2.0,67.8,73.0,47.0,5.33,4.0
S0133,5.6,85.7,81.2,84.3,8.16,4.0
S0134,4.1,95.0,78.3,70.5,7.4,1.0
S0135,1.9,67.6,46.7,46.9,5.11,2.8
S0136,2.7,85.6,60.5,53.4,6.18,3.3
S0137,5.1,88.9,82.9,90.8,8.4,4.9
S0138,6.0,94.4,95.7,97.6,8.5,5.0
S0139,8.1,100.0,100.0,100.0,9.18,2.7
S0140,9.7,100.0,100.0,100.0,10.0,5.0
S0141,5.2,100.0,84.2,83.8,8.09,3.6
S0142,2.7,53.4,53.0,77.4,7.23,0.0
S0143,0.7,45.0,60.8,35.0,4.52,2.9
S0144,5.0,83.0,82.0,80.3,7.42,6.4
S0145,3.0,76.4,57.8,59.1,7.05,0.3
S0146,3.8,86.7,65.6,73.5,6.22,4.2
S0147,3.4,82.6,60.2,73.4,6.8,7.5
S0148,4.2,80.0,80.5,71.2,8.03,2.3
S0149,6.4,100.0,90.3,100.0,8.71,4.0
S0150,4.8,96.0,81.7,82.6,7.03,1.1
S0151,4.2,84.9,73.5,75.5,7.06,7.6
S0152,2.6,82.5,68.2,53.9,7.01,3.8
S0153,1.5,69.4,44.2,52.4,5.6,4.1
S0154,3.6,74.7,58.7,64.9,6.3,7.0
S0155,4.4,90.7,78.5,71.5,7.17,5.5
S0156,7.7,100.0,100.0,96.6,9.17,2.1
S0157,4.7,86.4,80.7,98.9,7.71,2.6
S0158,6.3,100.0,85.7,90.5,9.29,5.1
S0159,3.6,57.5,68.3,49.0,6.71,2.6
S0160,2.4,59.4,48.7,46.8,5.85,0.0
S0161,2.8,63.9,54.4,56.1,5.36,3.9
S0162,3.2,73.9,56.5,67.0,5.84,0.7
S0163,8.3,100.0,100.0,100.0,10.0,7.6
S0164,3.0,62.6,65.1,63.4,5.45,4.4
S0165,6.0,85.2,91.5,81.2,8.08,2.0
S0166,2.9,67.5,70.2,61.2,6.24,2.5
S0167,6.2,100.0,100.0,85.0,8.13,0.0
S0168,5.2,100.0,70.9,79.9,7.66,1.6
S0169,4.2,79.6,66.8,64.4,7.07,6.2
S0170,4.4,81.3,69.6,64.3,7.49,8.9
S0171,3.3,67.6,56.6,70.2,6.82,5.6
S0172,5.3,72.6,69.9,83.0,7.77,3.8
S0173,3.7,79.0,66.4,75.5,6.85,3.0
S0174,2.3,62.8,45.3,53.2,5.35,1.9
S0175,2.2,70.4,58.9,60.7,5.35,8.5
S0176,4.8,72.5,75.5,59.8,7.01,3.6
S0177,7.3,95.2,100.0,100.0,9.31,8.7
S0178,4.8,88.1,82.8,79.8,7.77,7.1
S0179,4.3,87.0,79.8,79.5,6.38,0.2
S0180,5.0,91.8,78.3,84.2,7.48,2.5
S0181,6.9,87.2,100.0,85.1,9.21,2.5
S0182,4.9,95.1,83.2,69.3,7.88,3.8
S0183,3.8,73.4,53.0,60.9,6.08,3.9
S0184,6.5,100.0,85.7,98.8,9.86,10.6
S0185,5.3,89.5,68.6,87.8,7.89,1.6
S0186,7.3,89.2,96.5,85.6,9.11,4.5
S0187,4.8,84.1,77.1,69.7,7.72,5.4
S0188,2.3,75.1,54.3,50.8,5.83,4.0
S0189,2.0,75.7,72.5,52.0,5.55,4.2
S0190,7.5,100.0,100.0,90.4,10.0,1.7
S0191,7.6,100.0,100.0,90.9,9.83,4.2
S0192,4.2,92.1,68.1,68.6,7.77,5.1
S0193,3.8,78.6,61.6,69.2,7.13,4.7
S0194,7.1,100.0,98.5,89.4,8.68,5.3
S0195,2.5,90.4,64.8,61.8,7.06,7.1
S0196,2.9,93.0,51.9,74.7,6.37,6.1
S0197,5.7,80.9,81.6,72.1,8.02,4.2
S0198,3.8,72.4,68.0,64.9,5.97,1.4
S0199,4.5,98.3,77.5,87.5,6.8,2.7
S0200,4.2,73.7,64.6,66.5,7.1,3.5
S0201,5.1,76.7,73.9,72.7,7.14,4.6
S0202,7.0,95.8,95.0,100.0,8.08,2.9
S0203,4.7,89.8,79.1,75.6,7.84,1.9
S0204,5.7,91.0,90.5,94.4,9.1,1.4
S0205,0.8,57.0,51.8,43.9,5.4,0.4
S0206,4.4,78.4,71.4,70.0,7.06,3.5
S0207,3.0,69.5,57.8,63.7,6.22,0.8
S0208,2.3,63.9,58.9,55.8,6.12,1.8
S0209,2.9,96.1,72.6,75.5,7.35,3.1
S0210,3.9,84.1,68.1,66.4,6.9,1.1
S0211,6.1,100.0,97.6,92.1,8.64,4.8
S0212,2.1,66.3,62.4,52.1,5.82,5.6
S0213,4.6,83.7,86.4,81.0,7.63,2.8
S0214,3.6,73.3,81.2,57.4,6.59,3.0
S0215,3.9,57.6,58.1,71.1,6.34,5.2
S0216,6.3,83.4,88.4,91.7,8.91,2.4
S0217,5.5,74.5,80.2,68.7,8.18,2.3
S0218,6.9,79.2,90.6,100.0,8.71,6.6
S0219,4.2,72.6,65.8,87.5,7.71,5.9
S0220,3.2,89.4,56.4,75.7,6.67,5.3
S0221,4.1,82.2,73.2,83.1,7.84,6.0
S0222,4.9,99.2,76.5,83.5,8.22,0.0
S0223,4.8,90.6,80.3,66.1,9.17,7.0
S0224,2.5,80.3,54.8,45.2,5.72,4.9
S0225,4.7,77.9,66.6,76.5,6.99,6.2
S0226,4.9,92.2,82.5,75.8,7.97,4.9
S0227,9.0,100.0,100.0,100.0,10.0,4.1
S0228,7.9,100.0,100.0,100.0,10.0,3.4
S0229,3.0,80.8,81.7,68.0,6.19,4.8
S0230,4.0,87.0,75.1,60.7,7.58,3.3
S0231,1.9,64.2,56.3,46.6,6.02,5.9
S0232,3.4,68.5,55.8,74.9,6.74,0.5
S0233,5.1,77.8,67.9,68.7,7.07,2.8
S0234,6.7,98.8,100.0,100.0,9.5,8.5
S0235,3.2,80.1,58.2,60.6,7.14,2.6
S0236,3.3,70.8,55.9,67.0,6.69,3.5
S0237,0.6,62.0,42.9,49.5,4.9,2.1
S0238,4.2,88.4,74.1,80.2,7.42,4.7
S0239,2.6,79.1,53.9,67.1,6.21,2.4
S0240,3.5,93.2,69.0,61.8,7.39,3.6
S0241,2.9,87.0,75.3,73.6,6.63,5.9
S0242,4.3,75.0,65.9,64.3,6.67,2.5
S0243,1.3,81.2,41.7,53.5,5.18,5.7
S0244,1.9,64.4,59.9,52.3,5.16,5.8
S0245,8.3,100.0,100.0,100.0,9.86,6.3
S0246,2.2,71.7,51.5,57.4,5.84,4.3
S0247,2.5,69.4,45.6,49.8,6.07,11.1
S0248,7.8,88.6,94.1,89.5,9.42,6.3
S0249,9.7,100.0,100.0,100.0,10.0,4.7
S0250,2.4,58.3,63.9,53.7,6.29,2.1
S0251,3.8,89.7,64.2,81.2,7.04,3.8
S0252,5.1,100.0,83.4,84.0,7.89,7.1
S0253,7.6,96.5,100.0,90.0,9.51,7.8
S0254,2.7,77.1,42.5,68.0,5.44,7.3
S0255,4.1,75.8,78.9,66.5,6.58,5.7
S0256,5.9,87.7,77.0,89.0,8.63,1.2
S0257,5.3,96.7,87.1,79.4,7.31,5.1
S0258,3.8,80.6,72.1,82.4,7.43,1.3
S0259,4.3,99.2,86.5,70.9,8.3,0.7
S0260,2.0,65.8,58.3,49.1,5.46,4.5
S0261,4.1,91.4,55.6,75.1,7.46,5.2
S0262,4.0,83.0,65.9,62.6,7.59,6.0
S0263,4.9,94.7,82.4,84.0,7.64,5.1
S0264,3.5,75.0,64.9,78.1,7.01,5.2
S0265,5.3,89.6,86.9,79.0,7.65,1.8
S0266,6.3,94.9,97.5,94.7,8.37,3.8
S0267,4.8,79.2,81.4,53.7,7.03,0.7
S0268,5.1,94.8,81.2,82.6,8.12,0.0
S0269,4.6,91.4,63.5,75.5,8.12,5.6
S0270,4.5,90.3,73.7,70.5,7.44,2.3
S0271,3.2,91.0,71.7,76.5,6.29,5.9
S0272,5.1,100.0,75.0,81.4,7.57,6.4
S0273,4.3,80.6,78.7,71.4,7.37,2.6
S0274,8.3,100.0,100.0,100.0,10.0,5.3
S0275,7.3,96.4,99.7,83.9,9.32,2.5
S0276,5.2,89.4,57.4,72.7,7.69,0.0
S0277,3.1,71.4,52.8,69.1,6.68,4.3
S0278,2.5,87.6,77.7,44.9,6.31,3.0
S0279,6.6,100.0,90.4,89.2,8.71,3.0
S0280,5.0,85.9,63.7,75.9,7.23,8.3
S0281,5.4,100.0,95.7,100.0,8.85,0.6
S0282,1.4,46.6,44.5,47.4,4.0,4.8
S0283,6.2,76.9,94.5,80.5,8.41,1.8
S0284,5.3,97.1,87.0,95.3,7.91,6.0
S0285,2.5,73.6,62.8,51.7,5.88,4.7
S0286,3.7,82.2,72.3,76.5,7.64,4.8
S0287,5.0,75.9,82.6,65.2,7.09,1.9
S0288,4.6,85.4,95.0,84.8,7.14,2.3
S0289,4.0,99.9,83.8,72.8,7.43,6.0
S0290,4.3,91.3,63.6,67.7,7.64,7.9
S0291,4.0,83.8,76.1,70.0,6.93,5.1
S0292,4.8,82.7,86.5,78.9,6.77,2.0
S0293,7.1,97.3,100.0,94.2,8.69,4.7
S0294,0.5,45.0,35.0,39.0,4.89,9.3
S0295,4.1,84.8,82.3,67.6,7.2,4.2
S0296,4.8,94.5,88.0,85.5,8.0,7.2
S0297,5.0,74.0,97.6,79.5,7.27,2.4
S0298,3.8,75.0,62.8,67.1,6.5,3.9
S0299,1.3,55.6,42.5,40.3,5.77,5.4
S0300,5.1,79.9,76.4,79.3,7.48,4.9
S0301,7.6,100.0,97.6,100.0,9.18,2.3
S0302,1.7,49.7,40.7,61.4,5.56,2.2
S0303,6.1,99.9,68.5,98.6,8.24,6.2
S0304,3.9,88.2,69.2,79.9,6.9,6.6
S0305,4.4,82.1,77.5,98.4,7.26,7.3
S0306,2.6,51.3,50.4,55.8,5.56,8.0
S0307,3.9,72.4,84.1,71.2,6.88,4.3
S0308,6.8,100.0,96.2,100.0,9.92,3.3
S0309,5.5,66.3,89.0,69.3,7.62,7.0
S0310,7.6,100.0,100.0,98.8,8.32,5.6
S0311,6.6,87.1,98.0,87.2,8.69,1.8
S0312,5.3,97.0,86.8,89.9,8.12,1.7
S0313,7.6,97.8,100.0,100.0,9.36,5.1
S0314,5.3,93.4,84.1,84.7,8.12,3.6
S0315,6.0,99.0,93.9,99.0,8.5,3.9
S0316,4.0,98.3,78.5,82.5,7.42,6.4
S0317,4.6,83.9,74.3,74.6,7.7,5.7
S0318,3.2,80.9,69.4,59.8,6.39,6.9
S0319,6.3,82.3,100.0,96.5,7.82,0.0
S0320,2.4,83.0,58.5,65.7,7.6,4.6
S0321,5.9,86.6,89.6,73.2,7.84,5.5
S0322,4.2,77.9,81.9,68.3,7.08,0.6
S0323,6.6,97.4,100.0,95.6,8.12,2.6
S0324,5.9,79.0,84.1,89.6,8.0,2.2
S0325,7.8,100.0,83.6,100.0,9.05,4.0
S0326,5.8,100.0,93.1,91.6,8.25,7.6
S0327,1.7,70.7,35.0,55.4,6.03,8.4
S0328,4.4,70.0,83.2,70.5,7.16,2.2
S0329,2.4,71.2,59.1,50.7,6.2,5.2
S0330,3.6,86.1,77.7,66.9,6.13,5.2
S0331,7.2,84.4,87.7,95.0,9.62,4.9
S0332,5.6,82.2,70.9,82.5,7.38,4.9
S0333,3.2,85.3,69.4,51.4,7.43,4.7
S0334,2.7,76.5,60.8,56.5,6.69,7.7
S0335,4.6,89.1,73.5,77.5,7.78,6.4
S0336,2.3,88.6,62.2,58.5,5.96,1.7
S0337,3.3,82.0,88.9,63.8,6.75,5.8
S0338,5.1,94.3,88.9,86.1,7.7,6.0
S0339,6.6,100.0,100.0,86.2,8.86,4.7
S0340,5.6,89.7,91.6,71.7,7.96,6.5
S0341,0.5,53.8,52.0,35.0,4.0,4.4
S0342,5.0,92.1,80.1,87.6,8.36,4.4
S0343,4.6,89.7,61.7,91.3,7.54,4.3
S0344,5.2,84.7,79.6,86.9,7.55,0.0
S0345,7.4,93.2,100.0,87.0,8.85,3.8
S0346,0.8,83.5,41.9,46.4,5.58,2.5
S0347,3.4,81.6,66.3,68.8,6.35,1.4
S0348,5.6,84.8,77.9,84.4,6.92,7.2
S0349,1.7,76.2,65.9,56.6,5.87,5.1
S0350,7.2,100.0,100.0,91.7,9.38,3.9
S0351,5.2,86.7,86.3,81.2,7.69,2.8
S0352,6.0,99.2,95.2,94.0,8.02,4.7
S0353,3.5,67.2,64.1,69.3,6.45,6.2
S0354,6.0,97.0,90.8,83.1,7.79,2.2
S0355,6.4,100.0,83.7,91.0,8.3,4.0
S0356,4.9,91.7,63.1,58.8,7.44,5.9
S0357,4.9,84.1,79.9,73.2,7.97,0.0
S0358,5.0,83.4,81.6,74.2,7.44,3.9
S0359,2.9,72.0,71.5,52.1,6.05,3.1
S0360,4.2,81.1,85.7,73.6,8.03,3.7
S0361,4.2,80.0,85.4,71.5,7.28,2.9
S0362,5.2,97.4,75.9,66.0,8.21,4.3
S0363,6.3,80.2,84.6,88.6,8.04,8.2
S0364,2.6,81.3,65.6,53.2,6.04,3.3
S0365,4.3,80.2,93.5,76.2,6.17,4.6
S0366,7.2,100.0,100.0,88.8,9.59,8.4
S0367,3.2,66.8,71.0,60.6,6.44,2.8
S0368,3.0,88.1,63.3,63.4,6.62,8.0
S0369,4.9,98.4,74.8,84.5,7.85,4.0
S0370,6.0,100.0,96.7,91.8,8.89,7.9
S0371,4.5,71.5,64.0,69.5,6.36,5.7
S0372,6.9,100.0,94.6,84.8,8.74,4.7
S0373,6.0,97.9,89.1,78.6,8.0,3.9
S0374,6.0,79.6,98.0,80.0,8.84,2.6
S0375,5.5,90.8,81.6,84.2,8.45,4.2
S0376,8.7,100.0,89.6,100.0,8.95,6.0
S0377,4.1,87.8,78.1,78.6,6.59,4.0
S0378,0.9,65.0,40.2,41.2,4.95,3.3
S0379,7.4,100.0,100.0,93.0,9.05,3.4
S0380,3.7,93.3,71.6,69.7,6.57,6.2
S0381,4.7,97.2,78.2,82.3,8.67,6.7
S0382,6.9,73.3,95.9,91.5,8.46,2.5
S0383,1.6,64.8,38.5,63.6,5.6,2.5
S0384,2.2,70.0,52.3,49.3,5.53,4.8
S0385,1.6,51.9,53.0,44.1,5.39,7.4
S0386,3.1,77.3,59.1,66.2,6.28,6.5
S0387,5.3,100.0,72.4,85.4,8.05,1.2
S0388,5.4,80.9,86.9,77.0,8.05,3.4
S0389,5.0,91.0,90.0,68.4,7.07,2.0
S0390,2.0,61.5,52.0,46.0,6.2,3.4
S0391,0.5,55.0,35.0,35.0,4.64,7.5
S0392,4.6,98.9,85.8,66.5,8.36,0.9
S0393,3.7,75.0,54.3,59.9,6.22,0.4
S0394,5.3,94.1,86.5,75.7,7.63,2.2
S0395,5.8,75.7,75.4,86.4,7.29,4.6
S0396,4.7,100.0,72.2,86.5,8.01,5.4
S0397,5.9,98.6,85.5,82.1,8.47,5.0
S0398,4.9,85.8,77.6,76.5,7.42,6.6
S0399,5.5,95.9,80.3,70.7,7.7,0.1
S0400,3.2,64.7,66.8,56.2,5.65,6.6
S0401,4.2,93.7,72.3,78.9,7.42,3.3
S0402,4.9,84.2,86.1,84.3,7.34,5.6
S0403,6.0,92.0,90.3,82.4,8.03,1.1
S0404,3.8,76.3,63.3,76.1,7.5,4.0
S0405,5.4,85.4,75.7,70.1,7.85,4.5
S0406,4.0,88.4,60.3,63.0,7.8,6.5
S0407,4.3,86.0,77.1,79.9,7.07,0.5
S0408,6.0,99.8,87.3,100.0,8.65,4.1
S0409,0.9,63.4,35.0,47.0,4.96,1.6
S0410,2.2,75.6,53.0,55.5,5.18,5.1
S0411,1.8,65.2,45.2,35.0,6.15,5.7
S0412,0.5,81.1,59.6,35.0,5.15,6.8
S0413,3.3,63.6,48.5,61.2,6.56,2.8
S0414,5.8,100.0,77.7,86.7,8.13,6.0
S0415,4.0,94.2,83.6,65.6,7.28,7.0
S0416,4.9,79.5,88.0,76.8,7.05,0.4
S0417,6.5,100.0,87.5,94.9,9.34,5.3
S0418,6.9,100.0,91.4,100.0,9.15,6.1
S0419,4.4,93.0,82.1,78.0,7.69,3.4
S0420,6.9,99.9,78.2,100.0,9.64,1.3
S0421,4.7,84.0,62.0,76.4,7.97,6.1
S0422,3.0,74.1,60.5,60.3,6.68,1.4
S0423,3.4,82.1,80.2,75.3,6.12,3.6
S0424,1.8,81.6,53.0,47.4,5.61,3.9
S0425,2.9,77.0,63.6,84.0,5.91,5.6
S0426,3.9,72.9,77.5,70.1,7.08,2.6
S0427,5.9,100.0,100.0,93.4,8.59,2.5
S0428,7.6,100.0,96.8,100.0,8.75,4.2
S0429,2.0,76.0,56.2,69.8,5.79,6.2
S0430,5.2,96.0,98.3,90.1,7.36,9.0
S0431,2.6,71.3,47.3,45.0,6.05,0.7
S0432,5.4,81.8,89.4,91.8,7.01,4.7
S0433,4.3,75.8,63.9,68.2,7.27,1.6
S0434,1.2,50.5,45.1,42.2,4.98,6.2
S0435,6.2,97.2,88.8,80.8,9.42,1.9
S0436,3.4,77.7,58.9,69.6,7.02,2.5
S0437,3.5,75.3,59.0,60.4,6.46,2.7
S0438,2.6,46.8,55.2,50.9,5.8,3.8
S0439,3.3,66.7,71.1,59.2,5.69,4.7
S0440,5.3,99.7,84.0,100.0,7.73,5.1
S0441,4.2,77.0,72.2,86.4,7.16,4.0
S0442,5.1,91.8,86.4,82.1,6.9,1.1
S0443,5.2,76.4,70.6,78.0,7.5,5.6
S0444,6.9,100.0,100.0,94.0,8.54,3.9
S0445,3.9,80.0,77.0,78.3,6.99,6.6
S0446,1.8,71.7,74.9,49.6,5.19,2.4
S0447,6.4,100.0,90.2,90.4,8.95,0.5
S0448,3.9,95.1,70.7,82.0,7.34,3.9
S0449,6.5,94.3,98.5,88.3,9.3,6.9
S0450,5.2,83.8,87.1,79.7,7.72,4.4
S0451,4.3,80.7,69.0,59.7,6.81,3.6
S0452,5.1,93.4,79.3,88.1,7.81,2.1
S0453,8.0,100.0,100.0,100.0,8.99,7.9
S0454,8.2,100.0,99.3,100.0,9.89,1.7
S0455,4.6,99.0,77.1,92.2,8.07,2.4
S0456,4.8,85.7,78.9,70.9,8.67,5.3
S0457,6.4,100.0,100.0,95.7,8.49,0.0
S0458,3.0,76.7,58.4,54.4,6.27,6.8
S0459,5.1,100.0,69.2,82.4,7.82,5.4
S0460,4.5,87.9,61.1,82.1,7.53,6.0
S0461,5.1,97.1,72.9,83.9,8.16,5.2
S0462,3.0,69.5,51.1,48.6,6.2,3.6
S0463,1.6,60.1,48.5,36.8,5.77,1.7
S0464,0.8,66.7,35.8,35.0,4.72,3.7
S0465,2.5,81.8,55.5,63.9,6.71,1.9
S0466,3.7,80.4,62.9,84.6,7.09,5.1
S0467,4.0,70.3,65.1,78.1,6.74,5.8
S0468,8.0,93.7,100.0,87.9,9.28,7.2
S0469,6.5,84.1,95.0,100.0,9.49,4.8
S0470,2.8,58.7,57.4,62.5,5.46,6.0
S0471,5.1,89.7,77.9,69.0,7.97,3.3
S0472,3.8,90.7,68.8,69.4,6.81,2.9
S0473,4.0,81.8,74.2,79.5,7.85,5.0
S0474,4.8,66.7,78.4,76.7,7.5,3.1
S0475,5.6,90.0,77.8,74.4,7.79,4.6
S0476,3.9,79.9,70.7,74.4,7.17,1.7
S0477,6.4,100.0,76.9,76.6,8.88,2.1
S0478,2.4,59.6,56.9,51.2,5.45,5.4
S0479,4.5,81.6,81.3,83.6,7.65,6.0
S0480,9.2,100.0,100.0,100.0,10.0,1.8
S0481,4.9,91.5,95.0,76.2,7.86,5.5
S0482,7.1,100.0,90.8,100.0,9.09,2.8
S0483,4.7,87.0,79.4,85.0,7.72,4.0
S0484,5.5,94.2,85.3,96.2,8.27,7.1
S0485,4.4,91.4,76.1,83.6,7.52,5.8
S0486,4.2,75.9,70.7,79.1,6.71,5.8
S0487,3.1,84.5,66.9,71.0,7.41,8.2
S0488,5.3,77.3,86.3,80.8,7.13,2.5
S0489,3.0,78.8,74.7,63.2,6.63,1.8
S0490,5.7,93.8,86.6,84.8,8.09,2.4
S0491,6.5,91.2,97.7,81.6,9.35,3.4
S0492,5.2,88.8,75.9,73.6,7.42,0.0
S0493,4.0,76.3,76.3,66.8,6.57,3.5
S0494,5.3,80.3,74.4,81.8,7.26,2.8
S0495,3.9,78.5,79.2,81.0,7.08,5.7
S0496,6.2,85.2,100.0,87.2,7.65,4.8
